Descriptor,Importance
PEOE_VSA3,0.35491612070865836
EState_VSA8,0.08452559872989088
SlogP_VSA10,0.03464977780294475
SMR_VSA10,0.029697211481309597
FpDensityMorgan2,0.024478584951056908
MaxAbsEStateIndex,0.02136044392461421
HallKierAlpha,0.0180322250514313
SlogP_VSA1,0.01757508106978133
VSA_EState10,0.01748374399698306
EState_VSA2,0.01267349546970367
SPS,0.010420348435253877
EState_VSA3,0.010237028536943386
MolLogP,0.010211164802710821
VSA_EState3,0.009780104733237876
NumRotatableBonds,0.008886384914621617
MinPartialCharge,0.008725020390178284
AvgIpc,0.008721245282397441
BalabanJ,0.008592968396905735
VSA_EState2,0.008589513451012214
PEOE_VSA11,0.00851430698440705
SMR_VSA5,0.008303610376116136
PEOE_VSA9,0.00829638312985565
SMR_VSA7,0.008237514292170185
MinAbsEStateIndex,0.007911673353518561
PEOE_VSA10,0.007906316915561477
MaxAbsPartialCharge,0.007904987704558412
PEOE_VSA6,0.007897639585319173
SlogP_VSA12,0.007555353023168402
VSA_EState1,0.00749998627950269
EState_VSA6,0.007497362283388282
VSA_EState7,0.007494192454627553
MinAbsPartialCharge,0.007265582418667984
qed,0.007251881361473783
MaxPartialCharge,0.006953774695728764
PEOE_VSA8,0.006649772612785764
SlogP_VSA2,0.006558117026426733
VSA_EState5,0.006504711107518973
VSA_EState6,0.00642193205410449
Kappa3,0.006114578089117694
PEOE_VSA4,0.006104163907822673
VSA_EState4,0.005977161848267526
SMR_VSA6,0.005916802250134023
fr_pyridine,0.005776602666777757
FractionCSP3,0.005756916053872677
BertzCT,0.0056991479208293415
FpDensityMorgan1,0.005392506154075086
PEOE_VSA1,0.005277085403632034
TPSA,0.005155289654251505
EState_VSA4,0.004926631150576401
fr_aniline,0.004786576385546071
Phi,0.004716285851835481
SMR_VSA9,0.00457716535547709
VSA_EState9,0.00447102063259099
VSA_EState8,0.003998811618142167
SlogP_VSA5,0.003982869906517132
SlogP_VSA6,0.0036371097847832418
PEOE_VSA7,0.0032787634590748602
EState_VSA7,0.003208447328758541
SMR_VSA3,0.0031943397111162813
SlogP_VSA4,0.0029437862708180935
SMR_VSA4,0.0026820548432437497
MolWt,0.0026569470258033983
Ipc,0.002588324816807247
EState_VSA5,0.0024841899169395117
MinEStateIndex,0.0024723012835840942
SlogP_VSA3,0.0022024344145567445
SlogP_VSA8,0.0021635211769770253
EState_VSA9,0.0021255509369966226
PEOE_VSA2,0.0019305877412286543
SlogP_VSA11,0.0019115006526450346
SMR_VSA1,0.0018665673454756528
fr_halogen,0.0018459989034769464
fr_NH0,0.0017568687685121174
PEOE_VSA12,0.0016988100094394614
NHOHCount,0.0015291317569228833
EState_VSA10,0.0013767447334489214
NumHAcceptors,0.0013718035136759507
fr_NH1,0.0013441652717604152
NumHDonors,0.001232021002594617
fr_Ndealkylation1,0.0010612701297487842
fr_aryl_methyl,0.0010107239840423375
SlogP_VSA7,0.0009134776425079385
RingCount,0.0009101725025370279
NumHeteroatoms,0.0009094798736781963
NumAtomStereoCenters,0.0009064222114848708
fr_Ar_N,0.000802523277933488
fr_ether,0.000754718268260296
fr_methoxy,0.0007445233297430697
NumAliphaticHeterocycles,0.000668419253902799
NumSaturatedRings,0.0006194082622064848
fr_bicyclic,0.0005589524047004019
NumSaturatedHeterocycles,0.00046867848480297157
EState_VSA1,0.00040646842961824267
PEOE_VSA14,0.0003971166701380496
NOCount,0.0003950384907892838
NumHeterocycles,0.00039020487789692763
NumAromaticHeterocycles,0.00032528072131890196
NumAliphaticCarbocycles,0.00025466774484192764
NumAmideBonds,0.00024545072936066803
fr_Al_COO,0.00023000044601306457
NumAromaticRings,0.00020792007147388999
fr_C_O,0.00020687973669283045
fr_para_hydroxylation,0.00019960884324218855
NumAromaticCarbocycles,0.00019324888308399303
fr_Ndealkylation2,0.000192893037201846
fr_morpholine,0.0001844780038998874
SMR_VSA2,0.00016818608224334865
PEOE_VSA13,0.00015569903125613242
fr_ArN,0.00014004548576657577
PEOE_VSA5,0.00013155831220959657
fr_Ar_NH,0.00011438217433439473
NumAliphaticRings,0.00011370321969743191
fr_NH2,9.34095581860091e-05
fr_alkyl_halide,9.137166878746884e-05
fr_piperzine,8.179222979879186e-05
NumUnspecifiedAtomStereoCenters,6.920026075759064e-05
fr_ester,4.311119543411328e-05
fr_urea,4.2656776282078e-05
fr_Ar_OH,4.069691999659067e-05
fr_allylic_oxid,3.64324008251075e-05
fr_term_acetylene,3.279337401721757e-05
fr_hdrzone,2.6398759682702138e-05
fr_Ar_COO,2.6355969315065023e-05
fr_hdrzine,1.849673423610733e-05
